Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/18/2023,10/19/2023,TARGET.COM  *,Shopping,Sale,-38.48,
10/18/2023,10/18/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Refund,0.09,
10/16/2023,10/18/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-1432.14,
10/17/2023,10/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-106.36,
10/16/2023,10/16/2023,Payment Thank You Bill Pa,,Payment,5315.86,
10/13/2023,10/13/2023,AUTOMATIC PAYMENT - THANK,,Payment,138.00,
10/12/2023,10/13/2023,CASEYS FOODS,Groceries,Sale,-65.82,
10/10/2023,10/11/2023,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-138.00,
10/07/2023,10/09/2023,GLO NAIL LOUNGE,Personal,Sale,-65.00,
10/08/2023,10/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
10/06/2023,10/08/2023,STARBUCKS STORE 02314,Food & Drink,Sale,-13.40,
10/06/2023,10/08/2023,COOPERS HAWK WINE C D,Food & Drink,Sale,-18.00,
10/04/2023,10/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
10/03/2023,10/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.48,
10/02/2023,10/03/2023,UPPABABY,Shopping,Sale,-64.60,
09/30/2023,10/01/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.00,
09/28/2023,09/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
09/25/2023,09/27/2023,STARBUCKS STORE 60979,Food & Drink,Sale,-14.25,
09/26/2023,09/26/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
09/23/2023,09/24/2023,KELLER'S FARMSTAND O 20,Home,Sale,-11.10,
09/19/2023,09/20/2023,DUPAGE CNTY HEALTH DEP,Bills & Utilities,Sale,-20.00,
09/18/2023,09/19/2023,GLO NAIL LOUNGE,Personal,Sale,-65.00,
09/17/2023,09/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-91.12,
09/16/2023,09/17/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-700.00,
09/16/2023,09/17/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-60.00,
09/14/2023,09/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,104.00,
09/11/2023,09/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-254.23,
09/08/2023,09/10/2023,COOPERS HAWK WINE C D,Food & Drink,Sale,-12.00,
09/09/2023,09/10/2023,RIVERBEND CAFE,Health & Wellness,Sale,-16.70,
